candidate_id,job_title,job_description,required_education,required_skills,required_experience,candidate_education,candidate_skills,candidate_experience,hired
1346,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Digital Marketing', 'ML']",1.0,Diploma,"['Photoshop', 'Adobe Illustrator', 'ML', 'Networking']",3.0,0
1347,Backend Developer Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Node.js', 'SQL', 'Python', 'Adobe Illustrator']",0.0,Associate’s,"['Adobe Illustrator', 'Financial Modeling', 'Digital Marketing']",0.5,1
1348,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Writing', 'Adobe Illustrator', 'Excel', 'Security Protocols']",3.0,Associate’s,"['ML', 'Security Protocols', 'Networking', 'Adobe Illustrator', 'Databases']",0.5,0
1349,Backend Developer Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['SQL', 'Security Protocols', 'Databases']",3.0,High School,"['Problem-Solving', 'React', 'Photoshop']",1.0,0
1350,Finance Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['SQL', 'Writing', 'Financial Modeling', 'Java', 'React']",0.5,High School,"['React', 'Financial Modeling']",5.0,0
1351,Graphic Design Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['SQL', 'Photoshop', 'Java', 'Networking', 'Python']",0.0,Diploma,"['Adobe Illustrator', 'Databases', 'Networking', 'Photoshop', 'Security Protocols']",0.5,0
1352,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Associate’s,"['Networking', 'Problem-Solving', 'Python', 'Excel', 'Writing']",0.0,Associate’s,"['Networking', 'ML', 'Writing', 'Photoshop', 'Excel']",3.0,1
1353,Graphic Design Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Problem-Solving', 'Digital Marketing', 'Networking', 'Security Protocols', 'Node.js']",2.0,Diploma,"['Databases', 'Digital Marketing']",0.0,0
1354,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Problem-Solving', 'Adobe Illustrator', 'Networking']",0.5,Master’s,"['Networking', 'Writing', 'Photoshop', 'Excel']",1.0,0
1355,Graphic Design Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Node.js', 'Adobe Illustrator', 'React']",0.5,Master’s,"['Photoshop', 'SQL', 'Java']",3.0,0
1356,Software Engineering Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Digital Marketing', 'Databases', 'SQL', 'Java']",1.0,Diploma,"['Writing', 'Adobe Illustrator', 'Photoshop', 'ML']",0.0,0
1357,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Associate’s,"['Node.js', 'SQL']",0.5,Bachelor’s,"['Networking', 'ML']",5.0,0
1358,Graphic Design Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['SQL', 'React']",2.0,Associate’s,"['Python', 'Writing']",0.0,0
1359,Backend Developer Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Databases', 'React', 'Excel']",2.0,Associate’s,"['Adobe Illustrator', 'Python', 'React']",2.0,0
1360,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Networking', 'Adobe Illustrator', 'Node.js']",1.0,Associate’s,"['Excel', 'Node.js', 'Security Protocols', 'Python', 'ML']",5.0,1
1361,Marketing Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Associate’s,"['Java', 'Digital Marketing', 'Networking', 'Photoshop', 'Excel']",1.0,Master’s,"['Digital Marketing', 'Adobe Illustrator', 'Java', 'Networking', 'Writing']",3.0,0
1362,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Excel', 'Problem-Solving', 'Digital Marketing']",0.0,High School,"['React', 'Networking', 'Photoshop', 'Node.js', 'Java']",5.0,0
1363,Cybersecurity Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Python', 'Problem-Solving', 'ML', 'Databases']",1.0,Bachelor’s,"['Excel', 'Node.js', 'Databases', 'Photoshop', 'React']",0.0,0
1364,Finance Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Writing', 'Python', 'React']",3.0,High School,"['Writing', 'Problem-Solving', 'Photoshop']",5.0,0
1365,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Networking', 'Node.js']",1.0,High School,"['Java', 'Digital Marketing']",4.0,0
1366,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Financial Modeling', 'Writing']",0.0,Bachelor’s,"['Java', 'Photoshop', 'Problem-Solving', 'ML']",1.0,0
1367,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Photoshop', 'Excel', 'Writing']",0.0,High School,"['Digital Marketing', 'React', 'Node.js', 'Adobe Illustrator']",5.0,0
1368,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Networking', 'Photoshop', 'Security Protocols', 'ML', 'Writing']",0.5,Associate’s,"['Digital Marketing', 'Adobe Illustrator', 'Databases', 'Networking', 'Java']",4.0,0
1369,Software Engineering Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Excel', 'Photoshop', 'Adobe Illustrator', 'Networking']",2.0,Bachelor’s,"['Security Protocols', 'Python', 'Writing', 'Digital Marketing']",4.0,0
1370,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Networking', 'Databases', 'Financial Modeling']",2.0,High School,"['Writing', 'Photoshop', 'Networking', 'Financial Modeling']",1.0,0
1371,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Associate’s,"['SQL', 'Writing', 'Excel']",1.0,Master’s,"['ML', 'React', 'Databases']",1.0,0
1372,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Financial Modeling', 'Adobe Illustrator']",0.5,Diploma,"['Security Protocols', 'Photoshop', 'Excel', 'ML']",0.0,0
1373,Cybersecurity Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Financial Modeling', 'Node.js', 'Digital Marketing', 'Python']",0.5,Master’s,"['Python', 'Networking', 'Adobe Illustrator']",4.0,0
1374,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Digital Marketing', 'Problem-Solving']",1.0,High School,"['SQL', 'Photoshop']",2.0,0
1375,Cybersecurity Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Bachelor’s,"['Databases', 'Node.js']",3.0,Bachelor’s,"['Databases', 'Python']",0.5,0
1376,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Databases', 'Excel', 'Photoshop', 'SQL']",0.5,Associate’s,"['ML', 'Writing', 'React']",0.5,0
1377,Marketing Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Problem-Solving', 'Security Protocols', 'Financial Modeling', 'Writing', 'ML']",2.0,Diploma,"['Excel', 'React', 'Financial Modeling']",4.0,0
1378,Marketing Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Networking', 'React', 'Databases', 'Writing']",1.0,Bachelor’s,"['Excel', 'Java', 'Photoshop', 'Problem-Solving', 'SQL']",1.0,0
1379,Graphic Design Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,High School,"['Financial Modeling', 'Adobe Illustrator', 'Databases', 'ML']",2.0,Diploma,"['Digital Marketing', 'Node.js', 'Photoshop', 'ML', 'Excel']",3.0,0
1380,Data Science Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Bachelor’s,"['Java', 'Excel']",0.5,Associate’s,"['React', 'Problem-Solving', 'Photoshop', 'Python', 'Financial Modeling']",1.0,0
1381,Backend Developer Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Diploma,"['React', 'Networking', 'ML', 'Digital Marketing', 'Writing']",0.5,Bachelor’s,"['Writing', 'Adobe Illustrator', 'Excel', 'SQL', 'React']",4.0,0
1382,Backend Developer Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Diploma,"['Writing', 'Databases']",0.5,Bachelor’s,"['Excel', 'Databases', 'ML', 'Node.js']",0.0,0
1383,Data Science Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Diploma,"['Problem-Solving', 'Java', 'Security Protocols', 'Photoshop']",3.0,Bachelor’s,"['React', 'Python', 'Java', 'Security Protocols']",4.0,0
1384,Marketing Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Diploma,"['Financial Modeling', 'SQL', 'React', 'Photoshop']",2.0,Master’s,"['Networking', 'Financial Modeling', 'Security Protocols', 'ML', 'Databases']",0.5,0
1385,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Photoshop', 'Adobe Illustrator', 'Databases', 'Python', 'Writing']",3.0,Associate’s,"['Networking', 'SQL', 'Digital Marketing', 'Excel']",0.5,0
1386,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['React', 'Security Protocols', 'Python', 'Photoshop', 'Digital Marketing']",1.0,Bachelor’s,"['Adobe Illustrator', 'Python', 'Problem-Solving', 'Security Protocols', 'SQL']",1.0,0
1387,Software Engineering Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Diploma,"['Python', 'Excel', 'ML', 'Writing', 'Security Protocols']",2.0,High School,"['Security Protocols', 'Excel', 'Financial Modeling']",4.0,0
1388,Finance Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Security Protocols', 'Photoshop', 'React', 'Financial Modeling']",1.0,High School,"['Java', 'Photoshop']",1.0,1
1389,Backend Developer Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Digital Marketing', 'Adobe Illustrator']",0.0,High School,"['Databases', 'Python', 'Excel', 'Networking']",4.0,0
1390,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['Photoshop', 'Financial Modeling']",0.0,Associate’s,"['Writing', 'Security Protocols', 'Digital Marketing']",1.0,0
1391,Graphic Design Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Java', 'Digital Marketing', 'Photoshop']",2.0,Diploma,"['Financial Modeling', 'Databases']",1.0,0
1392,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['React', 'Python']",1.0,Master’s,"['Adobe Illustrator', 'Problem-Solving']",3.0,0
1393,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['Digital Marketing', 'Security Protocols', 'Node.js', 'Python']",1.0,Master’s,"['Problem-Solving', 'Photoshop', 'React']",0.0,0
1394,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['SQL', 'Databases']",2.0,Associate’s,"['Java', 'ML', 'Security Protocols', 'Financial Modeling', 'Adobe Illustrator']",0.5,0
1395,Data Science Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Digital Marketing', 'Networking', 'Node.js']",1.0,Master’s,"['Excel', 'Adobe Illustrator']",0.5,0
1396,Software Engineering Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['Financial Modeling', 'ML', 'Writing']",2.0,High School,"['Digital Marketing', 'Networking', 'ML', 'Security Protocols']",1.0,0
1397,Backend Developer Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Excel', 'Security Protocols', 'Digital Marketing']",0.5,High School,"['Problem-Solving', 'ML']",4.0,0
1398,Finance Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Master’s,"['ML', 'Writing', 'Financial Modeling', 'Node.js', 'Security Protocols']",2.0,High School,"['Databases', 'SQL', 'Node.js', 'Java']",4.0,0
1399,Marketing Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Financial Modeling', 'Photoshop']",0.5,Bachelor’s,"['Adobe Illustrator', 'Writing', 'Python', 'Photoshop']",0.0,0
1400,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['ML', 'Security Protocols', 'Excel', 'React']",0.0,Bachelor’s,"['Java', 'Security Protocols']",0.0,0
1401,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['Photoshop', 'SQL']",0.0,Master’s,"['SQL', 'Node.js', 'Java', 'Photoshop']",5.0,0
1402,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Adobe Illustrator', 'Digital Marketing', 'React']",2.0,High School,"['Databases', 'Node.js']",0.0,0
1403,Backend Developer Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",High School,"['Problem-Solving', 'Photoshop']",0.0,Diploma,"['Writing', 'SQL', 'Java', 'Digital Marketing']",0.5,0
1404,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Networking', 'Adobe Illustrator', 'Writing', 'Java']",2.0,Diploma,"['SQL', 'React', 'Networking', 'Writing', 'Digital Marketing']",4.0,0
1405,Finance Attachment,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['Security Protocols', 'Adobe Illustrator']",1.0,Associate’s,"['Security Protocols', 'Excel', 'Node.js', 'Writing', 'Python']",0.5,0
1406,Backend Developer Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['SQL', 'Java']",0.0,Master’s,"['Adobe Illustrator', 'Java', 'React', 'Databases', 'Writing']",1.0,0
1407,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Financial Modeling', 'Databases']",0.5,Bachelor’s,"['Financial Modeling', 'React', 'SQL', 'Adobe Illustrator']",0.5,0
1408,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['SQL', 'Adobe Illustrator', 'React', 'Problem-Solving']",1.0,High School,"['Writing', 'Python', 'Adobe Illustrator', 'Financial Modeling']",5.0,0
1409,Cybersecurity Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Photoshop', 'React']",0.5,High School,"['Digital Marketing', 'Python', 'React']",5.0,0
1410,Cybersecurity Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,High School,"['Networking', 'Java', 'Databases', 'React']",2.0,Associate’s,"['Node.js', 'Security Protocols', 'Writing', 'Photoshop', 'Networking']",0.5,0
1411,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['Databases', 'Node.js', 'Excel', 'Java']",0.5,Bachelor’s,"['Node.js', 'Python']",4.0,0
1412,Software Engineering Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Associate’s,"['Problem-Solving', 'Databases']",3.0,Associate’s,"['Security Protocols', 'React', 'Problem-Solving', 'Networking', 'ML']",3.0,1
1413,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Diploma,"['React', 'Python']",0.0,Master’s,"['Excel', 'Problem-Solving', 'Networking', 'Adobe Illustrator', 'React']",0.0,0
1414,Backend Developer Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Bachelor’s,"['Problem-Solving', 'Python', 'Excel', 'Adobe Illustrator', 'React']",0.0,Associate’s,"['ML', 'Java']",1.0,0
1415,Marketing Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Python', 'Excel', 'Adobe Illustrator', 'Problem-Solving']",0.0,Associate’s,"['Security Protocols', 'Python', 'Excel']",0.0,0
1416,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Bachelor’s,"['Problem-Solving', 'Photoshop', 'Networking', 'Python']",2.0,Diploma,"['Node.js', 'ML']",0.0,0
1417,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Associate’s,"['Photoshop', 'Databases', 'Node.js']",3.0,Master’s,"['Excel', 'Java']",4.0,0
1418,Finance Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,High School,"['Financial Modeling', 'Problem-Solving', 'Python', 'Security Protocols', 'ML']",3.0,Diploma,"['SQL', 'Photoshop', 'React', 'Writing', 'Problem-Solving']",0.0,0
1419,Backend Developer Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Financial Modeling', 'Problem-Solving']",1.0,High School,"['Node.js', 'Financial Modeling', 'Photoshop', 'React', 'ML']",0.0,0
1420,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Java', 'Adobe Illustrator', 'React', 'Financial Modeling']",1.0,Bachelor’s,"['ML', 'Adobe Illustrator', 'Photoshop', 'Java']",3.0,0
1421,Graphic Design Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Networking', 'Node.js']",2.0,High School,"['React', 'Python', 'Excel', 'Security Protocols']",4.0,0
1422,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Bachelor’s,"['ML', 'Python']",3.0,Master’s,"['Problem-Solving', 'React']",4.0,0
1423,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Financial Modeling', 'Digital Marketing', 'Security Protocols', 'ML', 'Excel']",1.0,Associate’s,"['Security Protocols', 'Networking', 'Photoshop', 'Problem-Solving', 'SQL']",5.0,0
1424,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Python', 'Java', 'Adobe Illustrator']",1.0,Associate’s,"['Adobe Illustrator', 'Writing', 'React', 'SQL', 'Financial Modeling']",0.5,0
1425,Finance Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,High School,"['Excel', 'Python', 'Digital Marketing']",1.0,Bachelor’s,"['Python', 'Digital Marketing']",0.5,0
1426,Backend Developer Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Diploma,"['Financial Modeling', 'Python', 'Java']",1.0,High School,"['Adobe Illustrator', 'Writing', 'Photoshop']",3.0,0
1427,Cybersecurity Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Associate’s,"['Problem-Solving', 'Financial Modeling', 'React', 'Excel']",0.5,Diploma,"['Photoshop', 'Networking', 'Python']",3.0,0
1428,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Writing', 'Adobe Illustrator', 'Security Protocols', 'Digital Marketing', 'Financial Modeling']",0.0,Master’s,"['Excel', 'Photoshop', 'React', 'SQL']",5.0,0
1429,Cybersecurity Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Photoshop', 'Java', 'Node.js', 'React', 'Financial Modeling']",0.5,Bachelor’s,"['Adobe Illustrator', 'Digital Marketing', 'Financial Modeling']",3.0,0
1430,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Associate’s,"['Python', 'React', 'Node.js', 'Security Protocols']",0.5,Diploma,"['ML', 'Financial Modeling', 'Python']",0.5,0
1431,Cybersecurity Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Master’s,"['Photoshop', 'Excel', 'Java', 'Security Protocols']",1.0,Associate’s,"['Java', 'Financial Modeling', 'Photoshop']",0.0,0
1432,Marketing Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Diploma,"['Databases', 'Adobe Illustrator', 'React']",0.0,Master’s,"['Financial Modeling', 'Java']",3.0,0
1433,Graphic Design Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Bachelor’s,"['Adobe Illustrator', 'React', 'Excel', 'Problem-Solving', 'SQL']",0.0,High School,"['Excel', 'Databases', 'Financial Modeling', 'Photoshop', 'ML']",5.0,0
1434,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Financial Modeling', 'Problem-Solving', 'Python']",1.0,Associate’s,"['Writing', 'Adobe Illustrator', 'Security Protocols']",1.0,0
1435,Cybersecurity Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['ML', 'Adobe Illustrator', 'Digital Marketing']",3.0,Master’s,"['Photoshop', 'Python']",4.0,0
1436,Software Engineering Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Financial Modeling', 'Adobe Illustrator', 'Security Protocols']",2.0,High School,"['Security Protocols', 'Financial Modeling', 'Problem-Solving', 'Node.js', 'Digital Marketing']",1.0,0
1437,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['SQL', 'Writing']",0.5,Associate’s,"['Writing', 'Java']",0.0,0
1438,Cybersecurity Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['Databases', 'Problem-Solving']",2.0,Associate’s,"['Java', 'Databases', 'Photoshop']",4.0,0
1439,Finance Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Master’s,"['Writing', 'Digital Marketing', 'Security Protocols', 'ML', 'Photoshop']",1.0,Associate’s,"['Financial Modeling', 'Digital Marketing']",5.0,0
1440,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Bachelor’s,"['React', 'Photoshop', 'Problem-Solving']",0.0,Master’s,"['Financial Modeling', 'Databases', 'Excel', 'Networking', 'ML']",0.5,0
1441,Graphic Design Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Associate’s,"['Financial Modeling', 'Python', 'Java', 'Writing', 'Node.js']",3.0,Master’s,"['Financial Modeling', 'ML', 'Problem-Solving']",4.0,0
1442,Cybersecurity Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Databases', 'ML', 'Adobe Illustrator', 'Node.js']",0.5,Associate’s,"['ML', 'Java', 'Python', 'Security Protocols', 'Excel']",0.0,0
1443,Cybersecurity Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['Writing', 'Excel', 'Databases', 'Node.js']",1.0,Diploma,"['Node.js', 'Excel', 'ML', 'Databases', 'Java']",0.5,0
1444,Finance Attachment,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['Security Protocols', 'ML', 'Photoshop', 'Databases']",0.5,Associate’s,"['Python', 'ML', 'Financial Modeling', 'Digital Marketing', 'Photoshop']",4.0,0
1445,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['ML', 'SQL']",1.0,High School,"['Problem-Solving', 'Excel', 'Digital Marketing', 'Writing', 'React']",2.0,0
1446,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Photoshop', 'Databases', 'Adobe Illustrator', 'SQL', 'Networking']",0.5,Associate’s,"['Writing', 'ML', 'Python', 'Databases']",1.0,0
1447,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Master’s,"['Java', 'Adobe Illustrator', 'Node.js', 'Excel']",0.5,Bachelor’s,"['ML', 'Node.js', 'Python', 'SQL']",2.0,0
1448,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Node.js', 'Financial Modeling', 'Writing', 'ML']",3.0,High School,"['React', 'Excel']",5.0,0
1449,Cybersecurity Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Bachelor’s,"['Java', 'ML', 'SQL', 'Financial Modeling']",3.0,Associate’s,"['Python', 'Security Protocols', 'SQL', 'Problem-Solving']",5.0,0
1450,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Bachelor’s,"['ML', 'Excel', 'Python', 'React', 'Adobe Illustrator']",1.0,High School,"['Problem-Solving', 'Financial Modeling', 'Digital Marketing']",0.5,0
1451,Graphic Design Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Writing', 'SQL', 'Security Protocols']",0.5,Master’s,"['React', 'Photoshop', 'Writing', 'SQL']",0.0,0
1452,Marketing Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Bachelor’s,"['React', 'Databases']",3.0,Master’s,"['Python', 'React', 'Financial Modeling', 'ML']",1.0,0
1453,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Java', 'Photoshop', 'SQL', 'Adobe Illustrator']",0.5,Diploma,"['React', 'ML', 'Security Protocols', 'Node.js']",2.0,0
1454,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Photoshop', 'Adobe Illustrator', 'Security Protocols', 'ML', 'Java']",1.0,Associate’s,"['React', 'Digital Marketing']",0.5,0
1455,Cybersecurity Attachment,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Master’s,"['SQL', 'Financial Modeling']",1.0,Bachelor’s,"['Digital Marketing', 'Security Protocols']",5.0,0
1456,Finance Attachment,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Bachelor’s,"['Digital Marketing', 'Java', 'Networking', 'Problem-Solving']",0.0,Diploma,"['Networking', 'Databases']",4.0,0
1457,Marketing Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,High School,"['Security Protocols', 'Writing', 'Digital Marketing', 'Adobe Illustrator']",2.0,Bachelor’s,"['ML', 'Python', 'Writing', 'Photoshop']",0.5,0
1458,Finance Attachment,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",High School,"['Databases', 'React']",2.0,Master’s,"['Security Protocols', 'ML']",0.5,0
1459,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Node.js', 'Security Protocols', 'Databases', 'Excel']",3.0,Master’s,"['Java', 'Problem-Solving', 'Photoshop']",3.0,0
1460,Data Science Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Diploma,"['Photoshop', 'Problem-Solving', 'Adobe Illustrator', 'ML']",3.0,Diploma,"['Writing', 'Security Protocols', 'Databases', 'Adobe Illustrator']",5.0,1
